"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24101.1094287868","25870.7559445251","26533.3438995798","27430.7524011872","28656.5202143914","28648.9900205053","28499.0894348895","30215.949226687","30512.6839094158","30728.0544998715","33120.0541798188","32117.9123240312","30862.2226879787","31387.2829556235","34176.4646017045","35207.5772431385","36362.219316911","37865.4934865724","38515.2637967535","34693.0867453501","33732.8474501545","35492.6184873268","35498.9820893212","37419.8928174534","38223.3722610314","38249.054868576","38390.2716491653","39454.6298308169","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","839.485886052574","888.153370010523","885.840818978255","979.2739786155","1031.64313483579","1176.12635744176","1218.11821481256","1454.66301483469","1637.3779870888","1626.76479325583","1806.76392975325","1874.7656344942","1897.52593759521","1886.69297690361","1896.99251957482","1934.63675412035","1951.55850377515",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3089.68336938602","3120.356148207","2908.16079788943","2190.76815959398","2195.53228855789","2496.19949344602","2794.89690618184","2953.34270861131","3027.34179532139","3037.72117508021","3097.30729226514","3191.26632340714","3564.0960260637","3614.60727757145","3978.69719450811","4555.18584238934","5048.87644916017","5697.25132784013","6221.42337306937","6092.78324495025","6230.29702794539","6346.39512245023","6772.528333315","6980.42303770718","7199.24547788095","7096.60061495221","6756.93507436951","6650.58493984778","6440.97627017565",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.47302184864","1909.11403844065","1823.3076726019","2057.44965660515","2289.87313528701","2665.76490612085","2980.06628849811","2717.36212449434","3021.01473768125","3471.65259162591","3861.334172426","4301.35279874992","4661.37155341076","4994.51880731917","5422.7784619431","5865.30619612569","6559.78325677995","7276.30296869082","8228.37393434179","8814.79960576386","9628.01801665153","10207.751719347","10526.2356037242","10571.0133906469","11259.2288794822","11662.0343838096","11868.1779203019","12930.1372840019","13325.5546303723",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6806.04170040024","6870.07641179691","7252.88872437361","7455.71333019219","7642.56092806028","7770.94916022368","8090.87060125279","8394.16804760835","8794.23776438909","8935.04259417456","9412.24722701339","9582.87187285689","9580.7575105634","9973.3202403908","10938.517242983","11644.9424715436","12440.3389566647","13039.5812280975","13736.739638239","13638.1845126397","14125.5389490699","14516.4307767852","15420.6790885058","15821.4779353094","16151.4687335703","16500.6905796076","16911.0178058873","17102.1269199991","17557.8127137512",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72906.5201192638","71753.7295623605","71567.8275246238","70082.3893272536","72471.6872850679","74994.3806244452","76848.7922432618","80390.0641128511","77421.1086604052","76654.2559064146","82215.3144683902","80843.6053740834","79863.4897328465","82946.3352078161","85147.2190945696","81635.4679747818","79970.736249785","72802.1616025434","66641.4842825541","56975.5293798538","54230.1736734082","56574.2881750551","58961.2020109326","62641.836986401","66516.8822549128","70261.5350220449","72386.0904689447","73355.8769793479","74942.7214856181",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7380.11503126293","8210.6434322406","8942.56985338672","9777.21400455893","10435.9107722067","10225.1187126326","10857.429668462","11802.842587708","12255.6762581191","11878.7311737753","11916.5826090011","11514.6191069309","10310.1291162543","11307.7579845085","12527.8004963472","13916.5305135208","15334.9368605184","16994.6959838827","17850.130189637","16753.3948879075","18524.856756023","19817.4504765479","19764.2250139108","20365.6133493801","20008.3206437752","20551.8331920467","20130.4080257871","20843.1550677175","20567.3017921066",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2428.55895976794","2237.75272824856","1356.21078599999","1296.17849767974","1429.1023861665","1591.89484571486","1742.73411429696","1852.20010204092","2025.55542011483","2136.12159826213","2327.3625215133","2621.85436449287","3031.1218818666","3539.6302673497","4038.45507488035","4772.59004736714","5609.16896953362","6609.17182383653","7264.56119514098","6326.65796858965","6565.67866042888","7019.76774846004","7649.06153123358","8003.0877626689","8405.07365471786","8727.38544723722","8808.57271425944","9620.81849100036","10324.9351325866",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11338.6407016373","11818.6779036961","12018.6408172753","12695.8423771383","13538.9249765173","12937.9773329936","13744.2283900455","14431.3091154593","14966.9388480447","15440.251127473","16544.4062710548","15820.7787282029","16011.033633228","17077.1170913092","18303.7390629645","19805.8196774079","22657.8567055312","25020.9018986913","25090.5187396092","21875.2347891364","20237.6727687085","19953.1927712162","20779.8250306909","20867.0284600856","22000.7502830601","22882.9702199058","24177.9597202438","25145.5412294362","26739.4681931788",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17329.5778815556","17790.7655222682","18189.0773364521","19131.5398287392","20064.2866977941","20894.3972067408","21972.0526522953","22934.7860068545","24196.7212783416","25264.3643562136","26328.6736837152","27336.6826900614","28718.241079556","29693.9059129237","31327.3774922975","32575.0692539649","34306.6523094004","36560.4056480642","37459.307649507","40300.3082316095","39324.3689530042","41965.3584189919","42826.789579996","45902.047948361","46880.2206571585","46270.1973987065","47352.1116091306","49653.7158885249","51601.7839544281",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19442.312042665","20585.0193104127","21259.6367506188","21698.3076736738","22606.8296418745","23660.4086083689","24529.2078275032","25424.0699288625","26674.609548055","27606.4830303088","29380.0660424793","29715.2222181289","31178.6933297272","32108.632547686","33743.0447084692","35013.7140443423","37623.0757580996","39392.5405883999","41316.225176699","40926.5237645676","42006.0468807427","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49877.7133112879","51655.5030888825","53879.2978545168","55509.5930557893",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5703.86998127308","5765.2877348042","4495.39784874786","3485.51157527102","2820.2511760786","2510.53851015471","2563.72099334445","2732.70029297773","3011.08769910818","3251.93494893839","3663.44525692196","4082.68232952958","4504.97648533603","5018.89005626504","5581.87125768037","7290.22995295019","9989.20647283288","12724.3483374698","14047.6601948804","15162.8877986052","15884.0447883734","15754.1523626148","16193.3956654319","17216.1785349866","17808.9018991513","17973.0906672263","17417.0866946634","17525.2796310656","18012.3154821748",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666.703901190964","707.309262409182","715.229729629419","673.169227474788","649.899628819986","601.987470505951","557.16935034664","552.115043199789","578.852301829151","573.714054857912","571.326312290227","582.46781690546","601.529755782136","587.242509949983","612.47443783263","617.061944454382","648.748987058181","666.875594941372","689.748643287301","698.17355330756","718.714469129813","739.219254973908","762.422479525263","788.893782672753","812.030043569424","764.195763296907","743.903597585734","737.97858286726","742.796896003945",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18758.9975494983","19675.6326021437","20349.3265781895","20550.6398938053","21600.1252066659","22531.7169349596","22891.1030954177","23927.5056427506","24563.9750111524","25642.2616549851","27988.4736100195","28958.4931661401","30482.7846512136","31056.4297700342","32237.9654121564","33332.3313498604","35386.2435378267","36872.6347191659","38133.5014644659","38008.8318042255","40051.9559032756","41284.1510136804","42435.9092509865","43611.072914714","44604.5110502539","45592.356176272","47214.1806397639","49411.8690997742","50366.6790263552",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949.168690924439","988.771014586505","1005.6146051391","1052.03860879483","1059.29204604521","1109.72406045534","1142.40629406797","1192.09566511527","1216.72738665118","1262.40524394434","1326.08981386947","1384.89728189515","1428.01789684515","1459.58466159283","1518.93258991052","1546.70844059608","1609.10467378436","1701.97113643735","1769.25243461697","1773.72977079744","1781.56331734831","1820.8893040888","1891.53038798579","2006.32788137536","2114.48031526958","2122.23559176033","2169.75580683695","2276.59572978031","2420.47972519809",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547.915171412028","601.501545223378","600.25641217333","618.752404834519","623.049102260358","654.261620689793","719.456366755637","756.732185099722","798.474269320547","845.76684931234","855.7447616175","906.07279057716","933.240365679876","995.464240882399","1037.23164397218","1128.29564794346","1198.75692551169","1261.9829023494","1339.24552299819","1348.00597328637","1394.25310032017","1472.71584137964","1550.63068365825","1620.2053687123","1672.0234371632","1704.85964271681","1773.31883763898","1866.17061993571","1975.03684815405",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860.210510026127","899.142123466813","948.27214688226","994.67373272117","1033.08694927246","1085.34990427125","1130.86005914757","1176.89572594069","1226.02089267026","1275.73823400198","1346.74320451837","1419.13778161534","1469.84576124928","1541.18592297321","1638.91616498592","1773.8885878377","1923.4175729538","2088.72093532393","2231.68946442953","2335.91871657039","2466.90294875237","2650.72993332452","2844.70256475036","3033.40463211438","3240.88562338782","3451.39850671617","3696.77619315223","3998.4194235515","4364.04528290173",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7493.20689876246","7162.97400081037","6866.76555820671","6980.86991179796","7284.25536081943","7683.85368541215","6779.30803153646","5696.76527716269","6141.21257729053","5767.16792589208","6377.83747429957","6908.95605518324","7726.40097711078","8343.13885383018","9122.84955375309","10211.2798788526","11313.5508143539","12800.8166750994","14328.9898581008","14146.1068964246","14934.132741045","15676.1333354642","16208.2204291165","16571.028761691","17534.3032559292","18186.4872278588","19500.3294529732","20948.1942754245","21960.3699424605",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22785.9374726591","25491.0801921058","27107.5763309839","30554.6334137363","30371.6088298346","31420.1692376087","32448.8186205046","33098.9740225593","34002.0913342107","34685.2795184034","35763.0065362621","35689.3095401192","35642.7812252909","36338.4014709418","37461.7398849633","38491.8748030166","39171.0385888276","40299.9790468257","40566.8346762678","39423.0816939165","39740.461091425","40168.2907691653","41754.6896622274","44274.9670633247","46333.3989015602","46912.9041636047","47215.5509961317","47660.4799076737","47219.8410519512",
